time,precipitation_sum (mm),temperature_2m_max (°C)
12/7/2021,3.6,8.5
12/8/2021,6.7,8.3
12/9/2021,6,4.1
12/10/2021,5,5.6
12/11/2021,19.7,6.8
12/12/2021,9.1,6
12/13/2021,14.7,4.3
12/14/2021,4.6,4.8
12/15/2021,1.3,5.8
12/16/2021,4,5.1
12/17/2021,2.5,5.8
12/18/2021,22.2,7.8
12/19/2021,0,6.9
12/20/2021,4.7,2.3
12/21/2021,2.6,3.8
12/22/2021,13.9,9.1
12/23/2021,8,5.7
12/24/2021,13.8,4.3
12/25/2021,8.5,2.3
12/26/2021,10.8,-1.4
12/27/2021,0.7,-5.1
12/28/2021,0.6,-1.5
12/29/2021,0.4,-1.9
12/30/2021,6.3,1
12/31/2021,0.1,-2.1
1/1/2022,0,1.4
1/2/2022,17.5,4
1/3/2022,25.6,3.4
1/4/2022,4.8,4.6
1/5/2022,8.6,2.2
1/6/2022,48.7,7.2
1/7/2022,29.8,6.7
1/8/2022,0.2,5.6
1/9/2022,0,9.8
1/10/2022,5,6.3
1/11/2022,26.4,6.9
1/12/2022,5.8,10.4
1/13/2022,7.3,11.2
1/14/2022,0,9.1
1/15/2022,0.3,9
1/16/2022,0,6.8
1/17/2022,2.7,9.5
1/18/2022,2.9,7.7
1/19/2022,3.5,10.7
1/20/2022,16.8,10.6
1/21/2022,0,7.5
1/22/2022,0,7.6
1/23/2022,0,6.7
1/24/2022,0,6.7
1/25/2022,0,7.7
1/26/2022,0,7.6
1/27/2022,0,12.1
1/28/2022,0,10.2
1/29/2022,0,11.1
1/30/2022,6.6,11.6
1/31/2022,8.2,5.4
2/1/2022,3,3.4
2/2/2022,1.3,4.9
2/3/2022,4.8,6.2
2/4/2022,0.9,8.1
2/5/2022,0,8.4
2/6/2022,0,10.7
2/7/2022,1.3,9.9
2/8/2022,0,8
2/9/2022,0.1,10.4
2/10/2022,0,10
2/11/2022,0,9.8
2/12/2022,0,12.1
2/13/2022,0,13.3
2/14/2022,6.5,7.9
2/15/2022,0.2,7.9
2/16/2022,1.4,8.9
2/17/2022,0,8.2
2/18/2022,0,9.9
2/19/2022,0.9,7
2/20/2022,12,7
2/21/2022,14.1,5.9
2/22/2022,0.3,3.6
2/23/2022,0,2.4
2/24/2022,0.9,4.5
2/25/2022,0,8.5
2/26/2022,4.4,10.1
2/27/2022,17.9,7
2/28/2022,58.1,10.6
3/1/2022,14.3,12.6
3/2/2022,16.3,10.1
3/3/2022,5.1,8.5
3/4/2022,1.1,9
3/5/2022,0,9.9
3/6/2022,0,11
3/7/2022,0,9.3
3/8/2022,4.8,7.3
3/9/2022,0.2,7.8
3/10/2022,0,8.3
3/11/2022,0,9.6
3/12/2022,3.3,14.4
3/13/2022,6.5,12.2
3/14/2022,21.5,8.3
3/15/2022,4.4,9.4
3/16/2022,1.2,10.7
3/17/2022,1.6,9.9
3/18/2022,1.1,11
3/19/2022,17.3,8.9
3/20/2022,6.8,8.1
3/21/2022,17,8.3
3/22/2022,1.5,17.7
3/23/2022,8.5,12.1
3/24/2022,0,13.4
3/25/2022,0,15
3/26/2022,1.9,14
3/27/2022,0,16.6
3/28/2022,1.1,12.7
3/29/2022,0.2,13.9
3/30/2022,9.1,9.9
3/31/2022,2.4,10.4
4/1/2022,0.5,11
4/2/2022,6.5,12.3
4/3/2022,5.4,11.4
4/4/2022,16.3,9.1
4/5/2022,5.6,10.4
4/6/2022,0,17.2
4/7/2022,0.1,23.4
4/8/2022,13.7,11.9
4/9/2022,18.3,6.9
4/10/2022,10.8,5.7
4/11/2022,3.1,10.2
4/12/2022,7.4,8.6
4/13/2022,0.2,9.2
4/14/2022,4.4,7.6
4/15/2022,0.6,10.8
4/16/2022,4.3,9.9
4/17/2022,0,14.8
4/18/2022,10.4,11.2
4/19/2022,5.8,11.4
4/20/2022,1.2,12
4/21/2022,9.9,12.2
4/22/2022,0.5,14
4/23/2022,0,14.9
4/24/2022,0.1,18.5
4/25/2022,7.7,13.3
4/26/2022,3.9,10.8
4/27/2022,0.7,12.4
4/28/2022,3.3,12.3
4/29/2022,1.4,14.4
4/30/2022,12.4,15.1
5/1/2022,0.4,16.1
5/2/2022,11.2,10.9
5/3/2022,1.1,12.7
5/4/2022,0,17.3
5/5/2022,15.5,9.3
5/6/2022,9.7,11.9
5/7/2022,33.3,12.1
5/8/2022,1.4,12
5/9/2022,2.2,11.9
5/10/2022,0.8,13.7
5/11/2022,1.6,14.1
5/12/2022,13.4,11.3
5/13/2022,4.6,13.2
5/14/2022,8.6,16.7
5/15/2022,18.9,16.3
5/16/2022,3.3,15
5/17/2022,0.2,14.2
5/18/2022,5.8,13.6
5/19/2022,10.1,13.1
5/20/2022,0.4,14.6
5/21/2022,0.4,17.6
5/22/2022,0,19.9
5/23/2022,3.4,17.6
5/24/2022,2.4,15.1
5/25/2022,3.7,18.7
5/26/2022,7.9,19.6
5/27/2022,15.3,14.8
5/28/2022,3.9,12.7
5/29/2022,9.4,14.1
5/30/2022,2,13.7
5/31/2022,0.2,20
6/1/2022,0.5,19.2
6/2/2022,0.3,22
6/3/2022,15.3,15.9
6/4/2022,10.7,20.2
6/5/2022,27.2,17.5
6/6/2022,0.4,16
6/7/2022,0.9,21.8
6/8/2022,1.7,19.7
6/9/2022,25,14.6
6/10/2022,6.7,19
6/11/2022,1.2,19.3
6/12/2022,6.1,14.3
6/13/2022,4.4,15.3
6/14/2022,7.1,15.5
6/15/2022,1,15.8
6/16/2022,2.3,18.7
6/17/2022,5.8,14.1
6/18/2022,0.9,15.9
6/19/2022,2.1,17.2
6/20/2022,1.4,18
6/21/2022,0,23.4
6/22/2022,2.4,17.4
6/23/2022,0.1,19.2
6/24/2022,0,23.3
6/25/2022,0,29.9
6/26/2022,0,31.8
6/27/2022,0.1,31.6
6/28/2022,1.7,18.4
6/29/2022,0,18.3
6/30/2022,0,23
7/1/2022,0,24.3
7/2/2022,0.3,20.3
7/3/2022,9.2,15.9
7/4/2022,0.5,19.7
7/5/2022,0.1,24.2
7/6/2022,5.5,23.5
7/7/2022,1.6,23
7/8/2022,1.7,22.8
7/9/2022,0,22.9
7/10/2022,0,23
7/11/2022,0,28.3
7/12/2022,0,27.4
7/13/2022,0,23
